Clause ID,Clause Title,Regulation,SOP ID,SOP Title,Business Unit,Compliance Level,Severity,Evidence Quote,Gap Description,Remediation,Reasoning
CC8,Change Management,SOC 2,SOP-ISEC-002,Access Control and Identity Management,Information Security,gap,critical,,"The provided SOP (SOP-ISEC-002) is an Access Control and Identity Management policy. It contains no policies, procedures, or controls related to the management of changes to infrastructure, data, software, and procedures as required by CC8.1. There is no mention of a change management process, change advisory board, testing, approval, or emergency change procedures.","Develop and implement a formal Change Management SOP that defines the process for requesting, reviewing, approving, testing, and implementing changes to all infrastructure, data, software, and procedures. This SOP should include roles and responsibilities, a change advisory board, emergency change procedures, and post-implementation review requirements.","The regulation clause requires an entity to manage changes to infrastructure, data, software, and procedures. The assessed SOP is entirely focused on access control and identity management, with no content addressing change management. This represents a complete absence of the required control for a high-risk area, as unmanaged changes can directly impact the security, availability, and integrity of systems. The provided guidance on modern access controls is not relevant to this fundamental gap."
CC7,System Operations,SOC 2,SOP-ISEC-002,Access Control and Identity Management,Information Security,gap,critical,,"The provided SOP (SOP-ISEC-002) is entirely focused on Access Control and Identity Management. It contains no evidence of policies, procedures, or controls for managing system operations, detecting configuration changes, logging and evaluating security events, responding to incidents, managing data recovery, or testing system resilience as required by CC7.1 through CC7.5.","Develop and implement a comprehensive System Operations SOP that addresses all CC7 criteria. This must include: a configuration management and vulnerability detection process (CC7.1); centralized logging, monitoring, and event correlation procedures (CC7.2); a formal incident response plan with defined roles and communication procedures (CC7.3); a process for post-incident analysis and continuous improvement (CC7.4); and documented, tested data recovery and system resilience plans (CC7.5).","The regulation clause requires the entity to manage system operations, implement processing-integrity policies, manage data-recovery, and test system resilience. The assessed SOP, SOP-ISEC-002, exclusively covers access control and identity management, which is a separate domain (CC6). There is a complete absence of any controls related to the CC7 criteria, representing a critical gap in the control environment for system operations. The evidence quote is empty because no relevant text exists in the provided SOP."
CC6,Logical and Physical Access Controls,SOC 2,SOP-ISEC-004,Endpoint Protection and Management,Information Security,partial,high,"Business Associates who access Meridian systems from their own endpoints (non-Meridian-managed) are subject to the terms of their Business Associate Agreement (BAA). The BAA obligates the Business Associate to maintain an equivalent endpoint security posture, including: - Endpoint encryption at rest (FDE or equivalent). - Current anti-malware protection. - Prompt patching of operating systems and applications.","The SOP lacks explicit technical enforcement or continuous monitoring of Business Associate endpoint compliance. It relies solely on contractual obligation (BAA) without verifying that BA endpoints meet the required security posture before granting access, which is insufficient for the 'continuous monitoring' and 'dynamic authorization' requirements of the latest CC6 guidance.","Implement a technical endpoint posture assessment (e.g., via Okta device trust, endpoint compliance checks, or a Network Access Control solution) that dynamically verifies encryption, anti-malware, and patch status before granting access to Meridian resources. Integrate this check into the Okta authentication flow or VDI access gateway to enforce compliance in real-time.","The SOP describes strong internal endpoint controls (FDE, AV, AppLocker, etc.) that align with CC6.1 for Meridian-managed devices. However, for Business Associate endpoints, the control relies entirely on a contractual BAA obligation with no technical verification mechanism. The latest CC6 guidance emphasizes continuous monitoring and dynamic authorization, meaning access decisions should be based on real-time device posture, not just a static agreement. This gap could allow non-compliant endpoints to access sensitive systems, representing a significant risk of unauthorized access."
CC6,Logical and Physical Access Controls,SOC 2,SOP-ISEC-014,Mobile Device Management,Information Security,partial,medium,The Intune Company Portal app auto-launches. An immediate device compliance check evaluates the following: OS version ≥ N-1 current release. Encryption status (iOS: FileVault equivalent enabled by policy; Android: File-Based Encryption). Passcode complexity (≥6 character alphanumeric OR biometric). Lookout for Work agent status Active.,"The SOP focuses heavily on mobile device enrollment and compliance checks but lacks explicit procedures for ongoing logical access management, such as periodic access reviews, role-based access control adjustments, and network segmentation controls as required by CC6.1 and CC6.3. Additionally, physical access controls (CC6.4) are not addressed.","Expand the SOP to include procedures for periodic user access reviews (e.g., quarterly recertification of device and application access), integration with identity lifecycle management for role changes, and documentation of network segmentation policies for mobile device traffic. Add a section on physical security controls for mobile devices, such as secure storage and handling of lost/stolen devices.","The SOP demonstrates strong logical access controls during device enrollment, including MFA, compliance checks, and conditional access, which partially satisfies CC6.1 and CC6.2. However, it lacks evidence of continuous access management (CC6.3) and physical access controls (CC6.4), which are required for full compliance with CC6. The guidance emphasizes least-privilege access and continuous monitoring, which are not fully addressed beyond initial enrollment."
CC1,Control Environment,SOC 2,SOP-LEGC-009,Compliance Training Program,Legal & Compliance,partial,medium,The CCO initiates the TNA cycle annually by the last business day of October... The CCO presents the Annual TNA Report to the AI Governance Committee for review and formal approval by December 15th.,"The SOP demonstrates a structured training program with role-based curricula and an annual needs assessment, but it lacks explicit evidence of how the entity demonstrates commitment to integrity and ethical values (CC1.1), exercises board-level oversight responsibility (CC1.2), or enforces accountability through performance evaluations and incentives (CC1.5). The training program is operational but does not show how the control environment is set and monitored at the highest governance level.","Enhance the SOP to include: (1) a section on how the board or AI Governance Committee sets and communicates ethical values and integrity expectations beyond training; (2) integration of compliance training completion and effectiveness into personnel performance evaluations and disciplinary processes to enforce accountability; and (3) documentation of how oversight bodies regularly review the control environment's effectiveness, not just the training plan.","The SOP provides a detailed compliance training framework that addresses competence commitment (CC1.4) through role-based training and annual needs assessments. However, it does not include evidence of a broader control environment such as a board-approved code of conduct dissemination, executive tone-setting on ethics, or mechanisms for enforcing accountability like linking compliance to performance reviews. The updated SOC 2 guidance emphasizes formal risk assessments and dynamic management, which are partially addressed through the TNA process but lack integration with entity-wide ethical values and oversight structures."
CC4,Monitoring Activities,SOC 2,SOP-LEGC-016,Vendor Compliance Assessment,Legal & Compliance,gap,high,Trigger Event Re-Assessment: A vendor’s tier shall be re-assessed immediately upon the occurrence of any of the following trigger events: ... A confirmed security incident or data breach at the vendor involving Meridian data.,"The SOP defines trigger events for vendor re-assessment but lacks any defined process for evaluating and communicating deficiencies identified during ongoing monitoring activities. There is no procedure for how monitoring results are analyzed, who is responsible for evaluating the severity of a deficiency, or how deficiencies are communicated to management and stakeholders.","Add a new subsection (e.g., 5.6 Deficiency Evaluation and Communication) that defines: (1) criteria for evaluating the severity of a deficiency identified during monitoring (e.g., critical, high, medium, low); (2) roles responsible for evaluation (e.g., Compliance Team, CISO); (3) required communication channels and timelines for reporting deficiencies to management and the board; and (4) a process for tracking remediation of deficiencies through to closure.","CC4 requires the entity to not only perform monitoring but also to evaluate the results and communicate deficiencies. While SOP-LEGC-016 establishes a trigger-based re-assessment mechanism (a form of ongoing monitoring), it completely omits the subsequent steps of evaluating the significance of any issues found and communicating those deficiencies. This is a significant gap because identifying a problem without a process to assess and escalate it renders the monitoring activity ineffective for governance."
CC3,Risk Assessment,SOC 2,SOP-LEGC-003,Internal Audit Program,Legal & Compliance,partial,high,"The VP, Internal Audit, and CCO annually review and propose to the Audit Committee a set of standardized risk scoring factors. These shall include: Strategic Impact (Weight: 25%), Operational Criticality (Weight: 20%), Financial Materiality (Weight: 20%), Regulatory & Legal Exposure (Weight: 25%), Information Sensitivity (Weight: 10%).","The risk assessment methodology focuses on inherent risk scoring for audit planning but does not explicitly address the identification and analysis of fraud risk, nor does it include a process for identifying and analyzing significant changes (e.g., new technologies, emerging threats, or business model shifts) as required by CC3. The annual review cycle may be insufficient for dynamic risk updates mandated by 2025-2026 guidance.","Enhance the risk assessment procedure to include: (1) a dedicated fraud risk assessment component, evaluating incentives, pressures, and opportunities for fraud across auditable entities; (2) a formal process for identifying and analyzing significant changes (e.g., new product launches, technology adoptions, regulatory shifts, or emerging cyber threats) on a quarterly or event-driven basis, with documented impact analysis; and (3) integration of continuous monitoring triggers that prompt out-of-cycle risk reassessments when material changes occur.","The SOP demonstrates a structured, weighted risk assessment methodology for audit planning, satisfying the 'identifies and analyzes risk' component of CC3. However, it lacks explicit coverage of fraud risk assessment and significant change analysis, which are distinct requirements under CC3.2 and CC3.4. The 2025-2026 guidance emphasizes dynamic updates and coverage of new threats and technologies, which the current annual review cycle does not fully address, creating a high-severity gap that could lead to a regulatory finding."
CC5,Control Activities,SOC 2,SOP-ISEC-011,Third-Party Security Assessment,Information Security,partial,high,"The vendor's access control model must demonstrably prevent unauthorized access to Meridian data. The reviewer examines logical access controls, including multi","The SOP's access control review for Tier 2 vendors is incomplete. The quoted procedure is cut off mid-sentence and does not explicitly require the assessment of modern access controls such as multi-factor authentication (MFA), network segmentation, least-privilege policies, or API security, as emphasized in the 2025-2026 guidance for SOC 2 CC5. The SOP also lacks a requirement for dynamic risk reassessment or continuous monitoring of these controls post-onboarding.","Complete the truncated procedure in section 5.3.2, Step 3 to explicitly mandate the review of MFA enforcement, least-privilege access principles, network segmentation, and API security for all Tier 2 vendors. Additionally, integrate a requirement for periodic, dynamic reassessment of these control activities into the continuous monitoring phase (Phase 5) to ensure ongoing compliance with the vendor's stated security posture.","The SOP demonstrates a structured process for selecting and deploying control activities through vendor risk tiering and evidence collection, which partially meets CC5. However, the specific technical control activities reviewed are insufficiently defined against modern guidance. The abrupt truncation of the access control review procedure and the absence of explicit checks for MFA, segmentation, and least-privilege represent a significant gap that could lead to a regulatory finding, as auditors will expect evidence of these specific controls. The lack of a defined dynamic reassessment process further weakens the control activity lifecycle."
CC6,Logical and Physical Access Controls,SOC 2,SOP-ISEC-001,Information Security Policy Framework,Information Security,gap,critical,,"The SOP-ISEC-001 provides a high-level policy framework, definitions, and scope but contains no specific procedures, controls, or operational details addressing any of the CC6 logical and physical access control requirements. There is no mention of how logical access is secured (CC6.1), how users are registered and authorized (CC6.2), how access rights are managed or removed (CC6.3), or how physical access is controlled (CC6.4). The document references IAM and MFA in the acronyms section but does not operationalize them.","Develop and reference detailed subordinate procedures or standards that specifically address each CC6 criterion. This must include, at a minimum: an Access Control Policy detailing least-privilege principles, MFA enforcement, and network segmentation (CC6.1); a User Provisioning and De-provisioning Procedure (CC6.2, CC6.3); a periodic Access Review process (CC6.3); and a Physical Security and Media Control Policy (CC6.4). The high-level framework should explicitly map to these operational documents.","The provided SOP is a foundational policy document that establishes scope and definitions but is entirely silent on the specific controls mandated by CC6. The regulation requires the entity to 'implement' controls for logical and physical access, yet the evidence contains no implementation details, processes, or technical standards. This represents a complete absence of required control procedures for a high-risk area, constituting a critical gap. The mere mention of acronyms like IAM and MFA does not constitute an implemented control."
CC4,Monitoring Activities,SOC 2,SOP-ISEC-011,Third-Party Security Assessment,Information Security,gap,critical,,"The SOP-ISEC-011 focuses exclusively on third-party vendor security assessments and does not address the entity's own monitoring activities, ongoing/separate evaluations of internal controls, or the communication of deficiencies as required by CC4. There is no evidence of a process for selecting, developing, and performing monitoring of Meridian's internal control environment.",Develop a separate SOP or expand this one to define the entity's internal control monitoring program. This must include: a schedule and methodology for ongoing and separate evaluations of key controls (including this vendor risk management process); criteria for identifying and classifying control deficiencies; defined roles and responsibilities for evaluating deficiencies; and a formal process for communicating deficiencies to management and the board in a timely manner.,"The regulation clause CC4 requires the entity to select, develop, and perform ongoing and/or separate evaluations of its own controls, and to evaluate and communicate deficiencies. The provided SOP (SOP-ISEC-011) is scoped to third-party security assessments, which is a control activity but not the monitoring of that or other internal controls. The SOP contains no procedures for internal control monitoring, evaluation of control deficiencies, or communication of such deficiencies to responsible parties, representing a complete gap against the CC4 criteria."
HIPAA-ADM-1,Security Management Process,HIPAA Security Rule,SOP-ISEC-001,Information Security Policy Framework,Information Security,gap,critical,,"The SOP-ISEC-001 does not contain any procedures for a security management process as required by 45 CFR § 164.308(a)(1). There is no mention of conducting a risk analysis, developing a risk management plan, implementing a sanctions policy, or establishing procedures to regularly review information system activity. The SOP focuses solely on policy lifecycle management and data classification.","Develop and implement a new, dedicated standard operating procedure (e.g., SOP-ISEC-XXX) that explicitly addresses the HIPAA Security Management Process. This SOP must include detailed procedures for: 1) conducting a thorough, documented risk analysis (including asset inventory, threat-vulnerability pairs, and risk level assignment per current guidance); 2) implementing a risk management plan to address identified risks; 3) establishing a sanctions policy for workforce members who violate security policies; and 4) defining procedures for the regular review of information system activity, such as audit logs and access reports. All related documentation must be retained for a minimum of six years.","The regulation clause mandates a comprehensive security management process including risk analysis, risk management, sanctions policy, and activity review procedures. The provided SOP evidence covers policy development, review, and data handling but completely omits the core components of a security management process. This is a critical gap as the required foundational administrative safeguard is entirely absent from the documented procedures."
CC3,Risk Assessment,SOC 2,SOP-LEGC-017,Regulatory Licensing Management,Legal & Compliance,gap,critical,,"The SOP-LEGC-017 focuses exclusively on regulatory licensing impact assessment, acquisition, and renewal. It contains no procedures for specifying suitable risk assessment objectives, identifying and analyzing risks to business operations or compliance, assessing fraud risk, or identifying and analyzing significant changes outside of licensing triggers. There is no mention of dynamic risk assessment updates, emerging threats, technologies, or integration of compliance frameworks as required by CC3.","Develop and implement a comprehensive risk assessment SOP that includes: (1) specification of risk assessment objectives aligned with business and compliance goals; (2) a methodology for identifying and analyzing risks, including emerging threats and technologies; (3) a fraud risk assessment component; (4) procedures for identifying and analyzing significant changes that may impact the control environment; and (5) integration with other compliance frameworks. This SOP should be separate from or significantly expand upon the existing licensing procedures to meet all CC3 points of focus.","The regulation clause CC3 requires the entity to have a risk assessment process that specifies objectives, identifies and analyzes risk, assesses fraud risk, and identifies significant change. The provided SOP only addresses regulatory licensing management and does not contain any of the required risk assessment components. This represents a complete absence of the required control for a high-risk area, as risk assessment is fundamental to SOC 2 compliance."
CC5,Control Activities,SOC 2,SOP-ISEC-012,Security Logging and Monitoring,Information Security,gap,critical,,"The SOP-ISEC-012 focuses exclusively on security logging, monitoring, and SIEM correlation rule engineering. It contains no procedures, controls, or references for modern access controls, network segmentation, multi-factor authentication, least-privilege policies, identity and access reviews, device inventories, API security, or microsegmentation as required by the CC5 regulation clause and its 2025-2026 guidance.","Develop and implement a comprehensive Control Activities SOP (or a suite of SOPs) that explicitly addresses the selection, development, and deployment of control activities. This must include detailed procedures for: implementing and reviewing multi-factor authentication; enforcing least-privilege access through role-based access control (RBAC); conducting periodic identity and access reviews; maintaining a device inventory; securing APIs; and implementing network segmentation and microsegmentation. This SOP should be linked to a risk management framework that demonstrates dynamic risk reassessment.","The provided SOP (SOP-ISEC-012) is narrowly scoped to security logging and monitoring, which is a detective control. The regulation clause CC5 requires the entity to select, develop, and deploy control activities broadly, and the latest guidance explicitly prioritizes preventative controls like modern access controls, MFA, and network segmentation. The complete absence of any documented procedures for these foundational control activities represents a critical gap, as the entity cannot demonstrate it has deployed the necessary controls to mitigate risks to its system and data."
CC1,Control Environment,SOC 2,SOP-ISEC-002,Access Control and Identity Management,Information Security,partial,high,Roles shall be defined based on job functions and reviewed annually by Business Unit VPs and Data Owners.,"The SOP focuses narrowly on access control and identity management but does not demonstrate a holistic control environment as required by CC1. Specifically, it lacks evidence of board-level oversight responsibility (CC1.2), a formal structure for authority and responsibility across the entire entity (CC1.3), a broader commitment to competence beyond IAM roles (CC1.4), and entity-wide accountability mechanisms (CC1.5). The annual role review is a single control point and does not constitute a comprehensive control environment.","Develop and reference a separate, overarching corporate governance SOP that addresses the full scope of CC1. This should include: a documented code of conduct demonstrating commitment to integrity (CC1.1); a charter or terms of reference for board or senior management oversight of the control environment (CC1.2); an organizational chart and delegation of authority document (CC1.3); a company-wide training and competency program (CC1.4); and formal performance review and disciplinary processes tied to internal control responsibilities (CC1.5). The access control SOP should then be explicitly linked as a sub-component of this broader framework.","The provided SOP, SOP-ISEC-002, is a detailed technical policy for access control and identity management. While it demonstrates some elements of structure and authority within the IAM domain (e.g., annual role reviews by VPs), it does not address the foundational, entity-wide principles required by SOC 2 CC1. The regulation clause requires a demonstration of commitment to integrity, board oversight, a defined organizational structure, commitment to competence, and accountability across the entire organization. The SOP's scope is too narrow to satisfy these criteria, representing a significant gap in the documented control environment. The updated guidance emphasizes comprehensive evidence, which a single technical SOP cannot provide."
